C_only	C_only	C_only	C_only		R-H	R-H	R-H	R-H	R-H		R-H2	R-H2	R-H2	R-H2	R-H2		R-O	R-O	R-O	R-O	R-O		R_OH	R_OH	R_OH	R_OH	R_OH		R-COOH	R-COOH	R-COOH	R-COOH	R-COOH
Functional	System	N_C_vac	Eform (eV)		Functional	System	N_H	N_C_vac	Eform (eV)		Functional	System	N_H2	N_C_vac	Eform (eV)		Functional	System	N_O	N_C_vac	Eform (eV)		Functional	System	N_OH	N_C_vac	Eform (eV)		Functional	System	N_COOH	N_C_vac	Eform (eV)
optB88	2SV - 3NN	2	15.07505097		RPBE	SW_top_4	4	0	7.980141		optB88	TV_t4	2	3	11.281953		RPBE	555567777_bri_766	1	2	10.88797311		RPBE	555567777_top_766	1	2	9.494342611		RPBE	555777_SV_m3	2	3	13.77066956
optB88	555-777	2	6.655369972		RPBE	SW_top_5	4	0	7.335615		optB88	TV_t5	2	3	10.668989		RPBE	TV_1	1	3	10.96473767		RPBE	TV_1	1	3	9.743588167		RPBE	555567777_SV_1	1	3	13.95274161
optB88	5555-6-7777	2	7.659565972		RPBE	SW_top_1	8	0	10.580485		optB88	TV_t6	2	3	13.353018		RPBE	TV_2	1	3	9.606974667		RPBE	TV_2	1	3	12.34431917		RPBE	555567777_SV_2	1	3	13.02525161
optB88	Triple Vacancy (TV) - 1	3	11.58631146		RPBE	SW_top_2	8	0	10.656857		optB88	TV	4	3	12.597445		RPBE	TV_3	1	3	9.606850667		RPBE	TV_3	1	3	12.06020117		RPBE	555567777_SV_3	1	3	15.45128361
optB88	Triple Vacancy (TV) - 2	3	14.12039746		RPBE	SV	1	1	6.165209056		optB88	TV_AG	4	3	8.442177		RPBE	TV_1	2	3	7.619616667		RPBE	555777_SV_1	1	3	8.443421167		RPBE	555567777_SV	2	3	14.37937556
optB88	DV+SV - 5MR	3	14.62252546		RPBE	SV	2	1	5.881372556		optB88	TV_AG	6	3	6.348809		RPBE	TV_2	2	3	10.02083367		RPBE	555777_SV_2	1	3	11.19713117		optB88	Basal_top	1	0	2.683162514
optB88	DV+SV - 6MR	3	13.69916346		RPBE	SV	3	1	4.999790056		optB88	TV_pt2_AG	6	3	8.068369		RPBE	TV	3	3	10.47547567		RPBE	555777_SV	2	3	10.51045467		optB88	Basal_bri	1	0	2.683756514
optB88	555-777+SV - 1	3	14.80246546		RPBE	DV	1	2	7.940144611		optB88	TV_AG	10	3	4.526785		RPBE	TV_sub	1	4	9.766797222		RPBE	555777_SV_m3_1	1	3	10.86345817		optB88	Basal_hol	1	0	2.990444514
optB88	555-777+SV - 2	3	12.71582346		RPBE	DV_1	2	2	6.359220111		optB88	555777_SV_t1	2	3	9.95558		RPBE	555777_SV_1	1	3	10.18450067		RPBE	555777_SV_m3_2	1	3	12.48949217		optB88	Basal_top_ap	2	0	5.022110028
optB88	555-777+SV - 3	3	12.16038646		RPBE	DV_2	2	2	9.453497111		optB88	555777_SV_t2	2	3	9.955609		RPBE	555777_SV_2	1	3	10.18503467		RPBE	555567777_SV_1	1	3	9.437196167		optB88	Basal_top_adj	2	0	4.452523028
optB88	555-777+SV - 4	3	13.73825746		RPBE	DV	3	2	5.545903611		optB88	555777_SV_t3	2	3	10.947337		RPBE	555777_SV_3	1	3	13.72767267		RPBE	555567777_SV_2	1	3	12.11296317		optB88	SV	1	1	7.095319
optB88	5555-6-7777+SV-567	3	14.44115846		RPBE	DV	4	2	3.842490111		optB88	555777_SV_t4	2	3	9.955563		RPBE	555777_SV	2	3	12.26817067		RPBE	555567777_SV	2	3	12.00353667		optB88	SV	2	1	8.439462514
optB88	5555-6-7777+SV-566	3	15.26837546		RPBE	555777_top_566	1	2	7.301021611		optB88	555777_SV_t5	2	3	9.955793		RPBE	555777_SV	3	3	16.43659867		optB88	Basal_top	1	0	2.138977		optB88	TV_1	1	3	10.49526797
optB88	5555-6-7777+SV-5677	3	13.34473346		RPBE	555777_top_576	1	2	6.916302611		optB88	555777_SV_t6	2	3	12.861688		RPBE	555777_SV_sub_7MR	1	4	12.63735722		optB88	Basal_bri	1	0	2.539154		optB88	TV_2	1	3	7.139774972
optB88	5555-6-7777+SV-6577	3	15.10297046		RPBE	555777_top_577	1	2	6.288332611		optB88	555777_SV_t7	2	3	12.861502		RPBE	555777_SV_sub_6MR	1	4	10.93828222		optB88	Basal_hol	1	0	2.528908		optB88	TV	2	3	12.01450449
optB88	5555-6-7777+SV-766	3	14.13304546		RPBE	555777_top_766	1	2	7.187927611		optB88	555777_SV_t8	2	3	9.902758		RPBE	555777_SV_sub	2	5	10.61525578		optB88	Basal_top_ap	2	0	4.080882		optB88	555777_SV_1	1	3	11.68958897
					RPBE	555777_top_777	1	2	7.571209611		optB88	555777_SV_t1	4	3	7.752809		RPBE	555777_SV_sub	3	6	10.24863033		optB88	Basal_top_adj	2	0	4.261459		optB88	555777_SV_2	1	3	12.55525897
					RPBE	555777_top	2	2	6.312391111		optB88	555777_SV_C16_AG	4	3	7.753088		RPBE	555777_SV_m3_1	1	3	12.87869367		optB88	Basal_top_ap	3	0	6.137872		optB88	555777_SV	2	3	12.33123349
					RPBE	555777_top	3	2	7.594746611		optB88	555777_SV_C27_AG	4	3	8.680998		RPBE	555777_SV_m3_2	1	3	10.11099267		optB88	Basal_top_adj	3	0	6.312594		optB88	555777_SV_m3_1	1	3	11.36027197
					RPBE	555777_top	6	2	10.15783411		optB88	555777_SV	6	3	7.247802		RPBE	555777_SV_m3_3	1	3	13.63190767		optB88	SV	1	1	6.527263486		optB88	555777_SV_m3_2	1	3	12.78503097
					RPBE	555567777_top_577	1	2	7.799165611		optB88	555777_SV_AG	6	3	6.118356		RPBE	555777_SV_m3	2	3	11.68927967		optB88	SV_adj	2	1	7.119332486		optB88	555777_SV_m3	2	3	12.72254949
					RPBE	555567777_top_657	1	2	7.985962611		optB88	555777_SV_m3_t1	2	3	9.197855		RPBE	555777_SV_m3_sub	1	4	10.72670622		optB88	SV	3	1	7.433194486		optB88	555567777_SV_1	1	3	9.751918972
					RPBE	555567777_top_677	1	2	8.525027611		optB88	555777_SV_m3_t2	2	3	9.197753		RPBE	555567777_SV_1	1	3	11.93540267		optB88	TV_1	1	3	9.523508458		optB88	555567777_SV_2	1	3	12.60480197
					RPBE	555567777_top_766	1	2	8.345252611		optB88	555777_SV_m3_t3	2	3	9.197688		RPBE	555567777_SV_2	1	3	14.45709167		optB88	555777_SV_2	1	3	11.09976746		optB88	555567777_SV	2	3	13.34629649
					RPBE	555567777_top	2	2	7.838035111		optB88	555777_SV_m3_t4	2	3	11.297893		RPBE	555567777_SV	2	3	13.57083167		optB88	555777_SV	2	3	10.06893346						
					RPBE	555567777_top	4	2	8.815560111		optB88	555777_SV_m3	4	3	12.204877		RPBE	555567777_SV_sub_1	1	4	14.08683322		optB88	555777_SV_m3_1	1	3	10.69490646						
					RPBE	555567777_top	6	2	11.04632711		optB88	555777_SV_m3	6	3	16.107101		RPBE	555567777_SV_sub_2	1	4	11.85779522		optB88	555567777_SV_1	1	3	11.95075046						
					RPBE	TV_1	1	3	8.401902167		optB88	555777_SV_m3_AG	4	3	9.117529		RPBE	555567777_SV_sub	2	5	12.32078678		optB88	555567777_SV	2	3	11.49570646						
					RPBE	TV_2	1	3	8.401869167		optB88	555777_SV_m3_AG	6	3	7.37128		RPBE	555567777_SV_sub	3	6	11.49466533												
					RPBE	TV_3	1	3	8.401961167		optB88	555777_SV_m3_AG	8	3	9.934125		optB88	Basal_top	1	0	3.931949												
					RPBE	TV_4	1	3	8.402124167		optB88	555777_SV_m3_AG	10	3	9.457133		optB88	Basal_bri	1	0	3.287237												
					RPBE	TV_5	1	3	8.401956167		optB88	555567777_SV_t1	2	3	12.303052		optB88	Basal_hol	1	0	8.828085												
					RPBE	TV	2	3	8.296808667		optB88	555567777_SV_t2	2	3	11.040917		optB88	Basal_bri_adj	2	0	6.102082												
					RPBE	TV	3	3	7.724754167		optB88	555567777_SV_t3	2	3	11.040917		optB88	Basal_bri_ap	2	0	6.563807												
					RPBE	TV	4	3	6.059112667		optB88	555567777_SV_t4	2	3	11.041234		optB88	SV	1	1	5.232913486												
					RPBE	TV	5	3	4.245137167		optB88	555567777_SV_C42_AG	4	3	9.690276		optB88	SV_sub	1	2	5.973337972												
					RPBE	555777_SV_1	1	3	9.755985167		optB88	555567777_SV_C43_AG	4	3	10.165631		optB88	SV_sub	2	3	7.188045458												
					RPBE	555777_SV_2	1	3	9.756116167		optB88	555567777_SV_AG	6	3	7.931598		optB88	SV_sub	3	4	5.994876944												
					RPBE	555777_SV_3	1	3	10.16502117								optB88	DV	1	2	5.973417972												
					RPBE	555777_SV_4	1	3	9.756075167								optB88	DV	2	2	5.647792972												
					RPBE	555777_SV_5	1	3	9.756023167								optB88	DV_sub_opp	2	4	7.685521944												
					RPBE	555777_SV_6	1	3	9.756345167								optB88	DV_sub	4	6	7.395224917												
					RPBE	555777_SV_7	1	3	9.756183167								optB88	TV_1	1	3	10.73751746												
					RPBE	555777_SV	2	3	7.547265667								optB88	TV_3	1	3	9.485406458												
					RPBE	555777_SV	3	3	5.625153167								optB88	TV_1	2	3	7.188072458												
					RPBE	555777_SV_m3_1	1	3	9.500076167								optB88	TV_2	2	3	9.574893458												
					RPBE	555777_SV_m3_2	1	3	9.500140167								optB88	TV	3	3	9.795019458												
					RPBE	555777_SV_m3_3	1	3	9.500137167								optB88	TV_sub	1	4	9.695870944												
					RPBE	555777_SV_m3_4	1	3	9.500199167								optB88	555777_SV_1	1	3	10.10929146												
					RPBE	555777_SV_m3_5	1	3	9.500115167								optB88	555777_SV_2	1	3	10.10919046												
					RPBE	555777_SV_m3	2	3	9.608584667								optB88	555777_SV	2	3	11.97146046												
					RPBE	555777_SV_m3	3	3	8.308820167								optB88	555777_SV_sub_7MR	1	4	12.68548794												
					RPBE	555777_SV_m3	4	3	11.65479767								optB88	555777_SV_sub_6MR	1	4	10.92655694												
					RPBE	555777_SV_m3	5	3	11.03790317								optB88	555777_SV_sub	2	5	10.41223143												
					RPBE	555567777_SV_1	1	3	10.93019017								optB88	555777_SV_sub	3	6	9.782290917												
					RPBE	555567777_SV_2	1	3	10.93026517								optB88	555777_SV_m3_2	1	3	9.986560458												
					RPBE	555567777_SV_3	1	3	12.16653317								optB88	555777_SV_m3	2	3	11.32371346												
					RPBE	555567777_SV_1	2	3	9.434855667								optB88	555777_SV_m3_sub	1	4	10.62782394												
					RPBE	555567777_SV_2	2	3	9.940113667								optB88	555567777_SV_1	1	3	11.76454746												
					RPBE	555567777_SV	3	3	8.112241167								optB88	555567777_SV	2	3	13.20889646												
					optB88	Basal_top	1	0	1.510928								optB88	555567777_SV_sub_2	1	4	11.75840494												
					optB88	Basal_top_ap	2	0	3.122166								optB88	555567777_SV_sub	2	5	12.07359243												
					optB88	Basal_top_adj	2	0	1.816624								optB88	555567777_SV_sub	3	6	10.98399592												
					optB88	Basal_top_ap	3	0	4.777734																								
					optB88	Basal_top_adj	3	0	2.743434																								
					optB88	Basal_top_ap	4	0	6.464839																								
					optB88	Basal_top_adj	4	0	3.917274																								
					optB88	Basal_top_ap	8	0	13.87356																								
					optB88	Basal_top_adj	8	0	6.657064																								
					optB88	bri	1	0	1.509723																								
					optB88	hol	1	0	5.787154																								
					optB88	SW_top_557	1	0	5.444971																								
					optB88	SW_57	1	0	5.697727																								
					optB88	SW_56	1	0	5.867471																								
					optB88	SW_76	1	0	6.143725																								
					optB88	SW_bri_5577	1	0	5.445546																								
					optB88	SW_bri_5577	1	0	5.690204																								
					optB88	SW_bri_556	1	0	5.692652																								
					optB88	SW_bri_776	1	0	6.142901																								
					optB88	SW_hol_5	1	0	11.920997																								
					optB88	SW_hol_7-1	1	0	9.637958																								
					optB88	SW_hol_7-2	1	0	9.825965																								
					optB88	SW_top_1	2	0	5.262856																								
					optB88	SW_top_2	2	0	5.759858																								
					optB88	SW_top_3	2	0	5.983712																								
					optB88	SW_top_4	2	0	6.055293																								
					optB88	SW_top_5	2	0	6.520049																								
					optB88	SW_top_6	2	0	6.107541																								
